approach,model,level,question_id,question_text,auto_passed,auto_detail,answer,errors
b2_rag_community,gpt-4o,L3,L3_q010_entry_exit_balance,"For each gate, how many people came in versus how many went out during the day? I want to see if the numbers balance.",False,"missing_numbers=[1569.0, 1382.0, 669.0, 724.0, 782.0]","At the Gate_MainEntrance, there were 470 person entries and 450 exits. At the Gate_ParkingLot, there were 454 person entries and 476 exits. For the location covered in Community 10, there were 437 person entries and 387 exits. At KeynoteHall_DoorA, there were 680 person entries and 685 exits. In the area with five camera locations, there were 169 person entries and 132 exits. Finally, during a sho",
b2_rag_community,gpt-4o,L3,L3_q011_busiest_camera_per_hour,"For each hour of the day, which camera location had the highest crowd? Show me the winning location and its average crowd size for each hour.",False,"missing_keys=['00', 'KeynoteHall_Stage', '01', 'KeynoteHall_Stage', '02'] missin",The summaries provided do not specify the highest crowd count or average head count for each hour at specific camera locations throughout the day. They only provide event counts and dominant event types across general and specific time frames at various camera locations without detailed hourly breakdowns of crowd sizes.,
b2_rag_community,gpt-4o,L3,L3_q012_car_traffic_by_hour,Break down the car traffic at the parking lot by hour — entries and exits separately.,False,"missing_keys=['car_exit', 'car_exit', 'car_entry', 'car_exit', 'car_entry'] miss","The breakdown of car traffic at the parking lot by hour on December 8, 2025, is as follows:

- Between 00:02:26 and 00:59:58 UTC, there were 2 car entries and 5 car exits.
- From 09:00 to 09:59 UTC, there were 5 car entries and 4 car exits.
- Between 16:00:57 and 16:58:54 UTC, there were 3 car entries and 2 car exits.
- During the hour from 17:00 to 17:59 UTC, there were 68 car entries and 67 car ",
b2_rag_community,gpt-4o,L3,L3_q013_nvidia_hourly_crowd,Give me the NVIDIA booth's crowd numbers hour by hour.,False,"missing_keys=['00', '01', '02', '03', '04'] missing_numbers=[3.5, 3.5, 3.5, 3.5,",The retrieved summaries do not contain specific hour-by-hour crowd numbers for the NVIDIA booth.,
b2_rag_community,gpt-4o,L3,L3_q014_all_gates_person_flow,"For each gate location, give me the total number of people who entered and exited.",False,"missing_keys=['person_entry', 'person_exit', 'person_entry', 'person_exit', 'Key","Here are the total numbers of people who entered and exited at each gate location on December 8, 2025:

- **Gate_MainEntrance**: 470 entries, 450 exits.
- **Gate_ParkingLot**: 454 entries, 476 exits.",
b2_rag_community,gpt-4o,L3,L3_q015_peak_crowd_each_location,What was the peak crowd at each location across the venue?,False,"missing_numbers=[209.0, 146.0, 86.0, 53.0]","The peak crowd at the AI Hardware Summit for each specified location was recorded as follows: at the DemoBooth_Intel, DemoBooth_NVIDIA, ExpoFloor_MainAisle, FoodCourt_North, and KeynoteHall_Stage, the overall peak head count reached 500. At KeynoteHall_DoorA, there were 1,376 events, but a specific peak head count isn't specified. Other locations, like Gate_MainEntrance and Gate_ParkingLot, did no",
b2_rag_community,gpt-4o,L4,L4_q001_compare_booths,"On 2025-12-08 (UTC), compare the crowd activity at DemoBooth_NVIDIA versus DemoBooth_Intel. Which booth was busier, and approximately what was the rat",False,missing=['average_headcount_ratio_nvidia_over_intel=1.4+-0.4_no_match (numbers_s,"The retrieved summaries do not provide specific head counts or activity comparisons for DemoBooth_NVIDIA and DemoBooth_Intel on December 8, 2025. Therefore, I cannot determine which booth was busier or the ratio of their average head counts based on the provided data.",
b2_rag_community,gpt-4o,L4,L4_q002_gate_flow_comparison,"On 2025-12-08 (UTC), which gate had higher total person flow (person_entry + person_exit combined) — Gate_MainEntrance or Gate_ParkingLot? State which",False,missing=['gate_mainentrance_flow_approx=2900.0+-400.0_no_match (numbers_seen=[8.,"On December 8, 2025, the Gate_ParkingLot had a higher total person flow compared to the Gate_MainEntrance. The Gate_ParkingLot recorded approximately 930 person events (454 entries and 476 exits), while the Gate_MainEntrance recorded approximately 920 person events (470 entries and 450 exits).",
b2_rag_community,gpt-4o,L4,L4_q003_morning_vs_evening_main_entrance,"On 2025-12-08 (UTC), compare the morning rush window (08:00-10:00) versus the evening rush window (17:00-19:00) at Gate_MainEntrance for total person ",False,"missing=['morning_total_approx=1200.0+-250.0_no_match (numbers_seen=[8.0, 2025.0","On December 8, 2025, at the Gate_MainEntrance during the morning rush window (08:00-10:00 UTC), there were a total of 920 activities recorded, split into 470 entries and 450 exits. For the evening rush window (17:00-19:00 UTC), detailed numbers are not provided in the summaries. Therefore, based on the available data, we cannot definitively determine which window was busier or by how much.",
b2_rag_community,gpt-4o,L4,L4_q004_keynote_morning_vs_afternoon,Compare the average head_count at KeynoteHall_Stage between the morning keynote window 09:00-10:00 UTC and the afternoon keynote window 14:00-15:00 UT,False,"missing=['morning_keynote_avg_approx=450.0+-80.0_no_match (numbers_seen=[8.0, 20","The summaries do not provide specific average head_counts for the KeynoteHall_Stage during the morning keynote window (09:00-10:00 UTC) or the afternoon keynote window (14:00-15:00 UTC) on December 8, 2025. The information needed to compare the two time periods and determine which keynote had higher attendance is not available in the given data.",
b2_rag_community,gpt-4o,L4,L4_q005_highest_peak_to_baseline_ratio,"Across all crowd-mode cameras (ExpoFloor_MainAisle, DemoBooth_NVIDIA, DemoBooth_Intel, KeynoteHall_Stage, FoodCourt_North) on 2025-12-08 (UTC), which ",False,"missing=[""most_extreme_location='KeynoteHall_Stage'_not_mentioned""]",The available summaries do not specify which camera location experienced the largest peak-to-baseline contrast based on head counts. The data only provides an overall peak head count of 500 and an average head count of approximately 31.2 across all monitored locations but does not attribute these figures to specific camera locations or provide overnight quiet-hour averages for comparison. Therefor,
b2_rag_community,gpt-4o,L4,L4_q006_morning_vs_evening_rush,"Was the morning rush bigger than the evening rush at the main entrance, in terms of how many people came and went?",False,"missing=['morning_total_approx=1200.0+-250.0_no_match (numbers_seen=[470.0, 450.","Yes, the morning rush at the Gate_MainEntrance was bigger than the evening rush in terms of the number of people entering and exiting. Between 08:00 and 12:59 UTC, there were 470 person entries and 450 person exits, totaling 920 people events. In contrast, in the later periods of the day, such as from 16:00 to 16:58 UTC at another location, there were only 16 entries and 11 exits noted.",
b2_rag_community,gpt-4o,L4,L4_q007_nvidia_vs_intel_booth_attraction,Which demo booth attracted bigger crowds — NVIDIA or Intel? Roughly how much more popular was the winner?,True,all_2_facts_satisfied,"The summaries provided do not include specific information about the attendance or crowd sizes at the NVIDIA and Intel demo booths. Therefore, I cannot determine which booth attracted bigger crowds or by how much.",
b2_rag_community,gpt-4o,L4,L4_q008_keynote_attendance_dropoff,"Did the keynote stage attendance drop off later in the day, or stay similar across the morning and afternoon keynotes?",True,all_2_facts_satisfied,"The attendance at the KeynoteHall_Stage saw a significant number of entries and exits throughout the day. During the earlier part of the day, from 08:00:13 to 15:59:56 UTC, there were 680 entries and 685 exits recorded, totaling 1,376 events. In contrast, later in the day, from 16:00:57 to 16:58:54 UTC, only 16 entries and 11 exits were recorded, indicating a drop-off in attendance for the afterno",
b2_rag_community,gpt-4o,L4,L4_q009_object_tracking_cross_camera,"Were there any tracked objects (by object_id) that were detected at Gate_MainEntrance AND also at KeynoteHall_DoorA on 2025-12-08? If so, how many uni",False,expected=1564.0 got=8.0,"The summaries do not specify whether any tracked objects (by object_id) were detected at both Gate_MainEntrance and KeynoteHall_DoorA on December 8, 2025. Therefore, it is not possible to determine how many unique objects appeared at both locations based on the provided information.",
b2_rag_community,gpt-4o,L4,L4_q010_camera_correlation,Which two crowd camera locations had the most similar hourly activity patterns on 2025-12-08? Compare all pairs of crowd cameras by how closely their ,False,"missing=[""most_similar_pair_includes='DemoBooth'_not_mentioned""]","The summaries provided do not contain specific data on hourly average head counts at individual crowd camera locations, making it impossible to determine which two locations had the most similar hourly activity patterns on December 8, 2025.",
b2_rag_community,gpt-4o,L4,L4_q011_people_flow_gate_to_keynote,Did people who came through the main entrance also show up at the keynote? How many people were tracked at both locations compared to just the main en,False,"missing=[""overlap_exists='yes'_not_mentioned""]","The summaries do not provide specific information on whether people who entered through the main entrance also attended the keynote. However, 470 person entries were recorded at the Gate_MainEntrance, and 680 person entries were logged at KeynoteHall_DoorA. The exact overlap of individuals between these two locations is not detailed.",
b2_rag_community,gpt-4o,L4,L4_q012_crowd_before_after_keynote,Was the expo floor busier before the morning keynote or after it? Compare the average crowd at the expo floor during 07:00-09:00 versus 10:00-12:00.,True,all_2_facts_satisfied,"The summaries do not provide specific average crowd sizes or direct comparisons for the ExpoFloor_MainAisle during the desired time windows of 07:00-09:00 and 10:00-12:00. While some details about overall activity and entries/exits are provided for related areas, they do not directly address the specific expo floor crowd levels before and after the morning keynote.",
b2_rag_community,gpt-4o,L4,L4_q013_food_court_vs_expo_lunch,"During lunch hours (12-14), did the food court get more crowded than the expo floor, or did people stay at the booths? Compare the average crowd sizes",True,all_2_facts_satisfied,"The summaries do not provide specific information about the average crowd sizes or comparisons between the FoodCourt_North and ExpoFloor_MainAisle during lunch hours (12-14) on December 8, 2025. Therefore, I cannot determine if the food court was more crowded than the expo floor or if people stayed at the booths during that time.",
b2_rag_community,gpt-4o,L4,L4_q014_parking_car_person_ratio,"At the parking lot gate, what's the ratio of car traffic to pedestrian traffic? Are more cars coming through or more people walking?",True,all_1_facts_satisfied,"At the Gate_ParkingLot on December 8, 2025, there were 454 person entries and 476 person exits, totaling 930 pedestrian events. In contrast, there were 298 car entries and 312 car exits, totaling 610 car events. Therefore, the ratio of car traffic to pedestrian traffic was 610:930, indicating more pedestrian traffic than car traffic at this location.",
b2_rag_community,gpt-4o,L4,L4_q015_quiet_vs_busy_locations,Which location was the quietest and which was the busiest in terms of average crowd? How big is the gap?,False,"missing=[""busiest='KeynoteHall_Stage'_not_mentioned"", ""quietest='DemoBooth_Intel","Based on the summaries provided, the quietest location in terms of average crowd would likely be the areas where specific average head count data was not reported, such as the session recorded in Community 5, which only had 32 total events. The busiest location, given the information, appears to be KeynoteHall_DoorA, with a total of 1,376 recorded events. Unfortunately, specific average head count",
b2_rag_community,gpt-4o,L5,L5_q001_summit_day_brief,"Write a security and operations brief for the AI Hardware Summit on 2025-12-08 (UTC). Cover: the busiest traffic windows at the main gates, keynote ha",False,coverage=1/5=0.20 (threshold=0.6),"- The busiest traffic window at the main entrance gate was from 08:00 to 12:59 UTC, with a total of 930 events, including 470 person entries and 450 exits.
- Keynote Hall saw its peak activity between 08:00 and 15:59 UTC, with 680 person entries and 685 exits, totalling 1,376 events.
- Lunchtime dynamics at the FoodCourt_North are not covered in the available summaries.
- At the demo booths, Intel",
b2_rag_community,gpt-4o,L5,L5_q002_nvidia_booth_timeline,"Describe the full-day activity timeline at DemoBooth_NVIDIA on 2025-12-08 (UTC). Identify the busiest time windows, any lulls, and quantify the peak c",False,coverage=0/5=0.00 (threshold=0.6),"The summaries do not provide specific details about the activity timeline at DemoBooth_NVIDIA on December 8, 2025. They cover general entries and exits across multiple locations, but do not specify the peak or lull times or crowd sizes at DemoBooth_NVIDIA specifically.",
b2_rag_community,gpt-4o,L5,L5_q003_staffing_brief,Write a staffing recommendation brief for the AI Hardware Summit on 2025-12-08 (UTC). Identify (a) the busiest hours of the day requiring extra staff ,False,coverage=2/5=0.40 (threshold=0.5),"- **Busiest Hours (Gates & Expo Floor):** From 08:00 to 12:59 UTC at Gate_MainEntrance, there were 930 events, with significant foot traffic indicated by 470 person entries and 450 exits, suggesting a need for extra staff during this period.
- **Peak Activity (Expo & Keynote):** KeynoteHall_DoorA experienced high traffic from 08:00 to 15:59 UTC, with 680 person entries and 685 exits among a total ",
b2_rag_community,gpt-4o,L5,L5_q004_security_attention_report,Produce a security-attention report for 2025-12-08 (UTC) at the AI Hardware Summit. Identify the locations and time windows that warrant the most secu,True,coverage=3/4=0.75 (threshold=0.5),"Based on the retrieved summaries, the security-attention report for December 8, 2025, highlights the following:

1. The gate handling the largest volume of person traffic is Gate_MainEntrance, with 470 person entries and 450 exits recorded between 08:00 and 12:59 UTC, totaling 930 events.
   
2. The gate with the most car traffic is Gate_ParkingLot, with 298 car entries and 312 exits between 07:00",
b2_rag_community,gpt-4o,L5,L5_q005_keynote_hall_lifecycle,Describe the full lifecycle of activity at the keynote hall on 2025-12-08 (UTC). Cover: (a) door entry patterns at KeynoteHall_DoorA throughout the da,False,coverage=1/4=0.25 (threshold=0.5),"On December 8, 2025, the activity at KeynoteHall_DoorA began at 08:00:13 UTC and ended at 15:59:56 UTC, with a total of 1,376 events. There were 680 person entries and 685 exits recorded, indicating a consistent flow of attendees throughout the day. During the keynote sessions at KeynoteHall_Stage, the peak head count reached 500, with an average head count of approximately 31.2. Post-keynote disp",
b2_rag_community,gpt-4o,L5,L5_q006_how_did_the_day_go,"Tell me how the day went at the conference — what stood out, when were the big moments, and what does the activity tell us?",True,coverage=2/5=0.40 (threshold=0.4),"The day at the conference was characterized by high activity, indicating significant attendance and engagement. Peak event periods included the morning at KeynoteHall_DoorA, with 680 entries and 685 exits from 08:00:13 to 15:59:56 UTC, suggesting a high-profile session. The Gate_MainEntrance experienced substantial foot traffic from 08:00 to 12:59 UTC, with 930 events, reflecting early enthusiasm ",
b2_rag_community,gpt-4o,L5,L5_q007_security_team_handoff,"If you were running security here, what would you tell your team based on the day's activity? Where should we keep the most eyes, and when do we need ",False,coverage=1/4=0.25 (threshold=0.5),"Based on the day's activity, I would advise focusing security efforts at the Gate_MainEntrance from 08:00 to 12:59 UTC, as this area recorded significant foot traffic with 930 total events (470 entries and 450 exits). Additionally, attention should also be given to the KeynoteHall_DoorA between 08:00 and 15:59 UTC, where 1,376 events were recorded (680 entries and 685 exits), indicating a high vol",
b2_rag_community,gpt-4o,L5,L5_q008_what_should_change,"Looking at how this conference day played out, what could be improved next time — staffing, layout, scheduling? Give me your top recommendations groun",True,coverage=2/4=0.50 (threshold=0.4),"To improve future conferences, consider the following recommendations based on the data:

1. **Keynote Hall Management**: The KeynoteHall_DoorA experienced significant foot traffic with 680 entries and 685 exits from 08:00:13 to 15:59:56 UTC, totaling 1,376 events. This indicates a need for better crowd management at key times, perhaps by optimizing entrance and exit flows to reduce congestion.

2",
b2_rag_community,gpt-4o,L5,L5_q009_community_pattern_analysis,"Looking at the overall structure of activity on 2025-12-08, which groups of cameras and locations naturally cluster together based on their activity p",False,coverage=0/3=0.00 (threshold=0.5),"Based on the summaries from December 8, 2025, there are three distinct activity clusters:

1. **Early Morning Activity (00:00 - 02:00 UTC):** This cluster includes Community 8 and Community 6. The activity is characterized by a moderate number of events, predominantly person entries (17 in Community 8 and 23 in Community 6) and car exits (5 in Community 8 and 4 in Community 6). Community 8 also no",
